,red,green,blue
Mean,100000001001001110111000010100011110101110000101000111101011100,11111111101000000000000000000000000000000000000000000000000000,100000000011110111010111000010100011110101110000101000111101100
Standard Deviation,100000000111111100111101011100001010001111010111000010100011111,100000000001000111000010100011110101110000101000111101011100001,100000000100000110000101000111101011100001010001111010111000011
weight,11111111011111010111000010100011110101110000101000111101011100,11111111100001010001111010111000010100011110101110000101001000,11111111100011110101110000101000111101011100001010001111010111
