,red,green,blue
Mean,100000001011011000001111010111000010100011110101110000101001000,100000001011010001100000000000000000000000000000000000000000000,100000001011110010111110101110000101000111101011100001010001111
Standard Deviation,100000001010110010001110000101000111101011100001010001111010111,100000001010010111010101110000101000111101011100001010001111011,100000001010111100000000000000000000000000000000000000000000000
