,red,green,blue
Mean,100000001100000101110101110000101000111101011100001010001111011,100000001011001100011010111000010100011110101110000101000111101,100000001010101110011010111000010100011110101110000101000111101
Standard Deviation,100000001010001110111010111000010100011110101110000101000111101,100000001001100100011110101110000101000111101011100001010001111,100000001001001111101000111101011100001010001111010111000010100
