,red,green,blue
Mean,100000001011111010100110011001100110011001100110011001100110011,100000001011010101110100011110101110000101000111101011100001010,100000001010101100000101000111101011100001010001111010111000011
Standard Deviation,100000001010011000101100110011001100110011001100110011001100110,100000001001111101011100001010001111010111000010100011110101110,100000001001001000000010100011110101110000101000111101011100001
