,red,green,blue
Mean,100000001100101100100101110000101000111101011100001010001111011,100000001100100111000100011110101110000101000111101011100001010,100000001100001011001000010100011110101110000101000111101011100
Standard Deviation,100000001010000001011010111000010100011110101110000101000111101,100000001001101111100110011001100110011001100110011001100110011,100000001001011101101110000101000111101011100001010001111010111
