,red,green,blue
Mean,100000001100000110011100110011001100110011001100110011001100110,100000001011111101111110101110000101000111101011100001010001111,100000001011100011111000010100011110101110000101000111101011100
Standard Deviation,100000001010100001011000010100011110101110000101000111101011100,100000001010011010100000000000000000000000000000000000000000000,100000001010010010101011100001010001111010111000010100011110110
