PA,2,5,w1,w2
IX,d,SE,1,2
0,0,0,0,0
1,1,1,1,0
2,2,1,0,1
3,3,1,0,-1
4,4,1,-1,0
,TSE,4,,
,MSE,0.4,,
,PSNR,52.11,,
