PA,2,19,w1,w2
IX,d,SE,1,4
0,0,0,0,0
1,1,1,1,0
2,2,4,2,0
3,3,2,-1,1
4,4,1,0,1
5,5,2,1,1
6,6,5,2,1
7,7,5,-1,2
8,8,4,0,2
9,9,5,1,2
10,10,5,-1,-2
11,11,4,0,-2
12,12,5,1,-2
13,13,5,-2,-1
14,14,2,-1,-1
15,15,1,0,-1
16,16,2,1,-1
17,17,4,-2,0
18,18,1,-1,0
,TSE,58,,
,MSE,1.5263,,
,PSNR,46.29,,
