PA,4,79,w1,w2,w3,w4
IX,d,SE,1,3,9,26
0,0,0,0,0,0,0
1,1,1,1,0,0,0
2,2,2,-1,1,0,0
3,3,1,0,1,0,0
4,4,2,1,1,0,0
5,5,3,-1,-1,1,0
6,6,2,0,-1,1,0
7,7,3,1,-1,1,0
8,8,2,-1,0,1,0
9,9,1,0,0,1,0
10,10,2,1,0,1,0
11,11,3,-1,1,1,0
12,12,2,0,1,1,0
13,13,3,1,1,1,0
14,14,3,0,-1,-1,1
15,15,4,1,-1,-1,1
16,16,3,-1,0,-1,1
17,17,2,0,0,-1,1
18,18,3,1,0,-1,1
19,19,4,-1,1,-1,1
20,20,3,0,1,-1,1
21,21,4,1,1,-1,1
22,22,3,-1,-1,0,1
23,23,2,0,-1,0,1
24,24,3,1,-1,0,1
25,25,2,-1,0,0,1
26,26,1,0,0,0,1
27,27,2,1,0,0,1
28,28,3,-1,1,0,1
29,29,2,0,1,0,1
30,30,3,1,1,0,1
31,31,4,-1,-1,1,1
32,32,3,0,-1,1,1
33,33,4,1,-1,1,1
34,34,3,-1,0,1,1
35,35,2,0,0,1,1
36,36,3,1,0,1,1
37,37,4,-1,1,1,1
38,38,3,0,1,1,1
39,39,4,1,1,1,1
40,40,4,-1,-1,-1,-1
41,41,3,0,-1,-1,-1
42,42,4,1,-1,-1,-1
43,43,3,-1,0,-1,-1
44,44,2,0,0,-1,-1
45,45,3,1,0,-1,-1
46,46,4,-1,1,-1,-1
47,47,3,0,1,-1,-1
48,48,4,1,1,-1,-1
49,49,3,-1,-1,0,-1
50,50,2,0,-1,0,-1
51,51,3,1,-1,0,-1
52,52,2,-1,0,0,-1
53,53,1,0,0,0,-1
54,54,2,1,0,0,-1
55,55,3,-1,1,0,-1
56,56,2,0,1,0,-1
57,57,3,1,1,0,-1
58,58,4,-1,-1,1,-1
59,59,3,0,-1,1,-1
60,60,4,1,-1,1,-1
61,61,3,-1,0,1,-1
62,62,2,0,0,1,-1
63,63,3,1,0,1,-1
64,64,4,-1,1,1,-1
65,65,3,0,1,1,-1
66,66,3,-1,-1,-1,0
67,67,2,0,-1,-1,0
68,68,3,1,-1,-1,0
69,69,2,-1,0,-1,0
70,70,1,0,0,-1,0
71,71,2,1,0,-1,0
72,72,3,-1,1,-1,0
73,73,2,0,1,-1,0
74,74,3,1,1,-1,0
75,75,2,-1,-1,0,0
76,76,1,0,-1,0,0
77,77,2,1,-1,0,0
78,78,1,-1,0,0,0
,TSE,208,,,,
,MSE,0.6582,,,,
,PSNR,49.95,,,,
