HA,3,65,w1,w2,w3
IX,d,SE,1,5,26
0,0,17,-3,-2,-2
1,0,17,-2,3,2
2,0,17,2,-3,-2
3,0,17,3,2,2
4,0,22,-3,-2,3
5,0,22,-2,3,-3
6,0,22,2,-3,3
7,0,22,3,2,-3
8,0,25,0,0,-5
9,0,25,0,0,5
10,0,26,-5,1,0
11,0,26,5,-1,0
12,0,27,-1,-5,1
13,0,27,1,5,-1
14,0,42,-1,-5,-4
15,0,42,1,5,4
16,0,51,-5,1,-5
17,0,51,-5,1,5
18,0,51,5,-1,-5
19,0,51,5,-1,5
20,0,53,-6,-4,1
21,0,53,-4,6,-1
22,0,53,4,-6,1
23,0,53,6,4,-1
24,0,62,-1,-5,6
25,0,62,1,5,-6
26,0,68,-6,-4,-4
27,0,68,-4,6,4
28,0,68,4,-6,-4
29,0,68,6,4,4
30,0,88,-6,-4,6
31,0,88,-4,6,-6
32,0,88,4,-6,6
33,0,88,6,4,-6
34,1,12,-2,-2,-2
35,1,14,-1,3,2
36,1,17,-4,1,0
37,1,17,-2,-2,3
38,1,19,-1,3,-3
39,1,22,3,-3,-2
40,1,24,4,2,2
41,1,26,0,-5,1
42,1,26,1,0,-5
43,1,26,1,0,5
44,1,27,3,-3,3
45,1,29,4,2,-3
46,1,30,2,5,-1
47,1,37,6,-1,0
48,1,41,0,-5,-4
49,1,42,-5,-4,1
50,1,42,-4,1,-5
51,1,42,-4,1,5
52,1,45,2,5,4
53,1,46,-3,6,-1
54,1,56,-6,4,2
55,1,57,-5,-4,-4
56,1,61,-6,4,-3
57,1,61,-3,6,4
58,1,61,0,-5,6
59,1,62,5,-6,1
60,1,62,6,-1,-5
61,1,62,6,-1,5
62,1,65,2,5,-6
63,1,77,-5,-4,6
64,1,77,5,-6,-4
65,1,81,-3,6,-6
66,1,97,5,-6,6
67,2,9,-1,-2,-2
68,2,10,-3,1,0
69,2,13,0,3,2
70,2,14,-1,-2,3
71,2,18,0,3,-3
72,2,27,1,-5,1
73,2,29,2,0,-5
74,2,29,2,0,5
75,2,29,4,-3,-2
76,2,33,-4,-4,1
77,2,33,5,2,2
78,2,34,4,-3,3
79,2,35,-3,1,-5
80,2,35,-3,1,5
81,2,35,3,5,-1
82,2,38,5,2,-3
83,2,41,-6,-1,-2
84,2,41,-2,6,-1
85,2,42,1,-5,-4
86,2,45,-5,4,2
87,2,46,-6,-1,3
88,2,48,-4,-4,-4
89,2,50,-5,4,-3
90,2,50,3,5,4
91,2,56,-2,6,4
92,2,62,1,-5,6
93,2,68,-4,-4,6
94,2,70,3,5,-6
95,2,73,6,-6,1
96,2,76,-2,6,-6
97,2,88,6,-6,-4
98,2,108,6,-6,6
99,3,8,0,-2,-2
100,3,9,3,0,0
101,3,13,0,-2,3
102,3,14,1,3,2
103,3,19,1,3,-3
104,3,26,-3,-4,1
105,3,30,-5,-1,-2
106,3,30,-2,1,-5
107,3,30,-2,1,5
108,3,30,2,-5,1
109,3,34,3,0,-5
110,3,34,3,0,5
111,3,35,-5,-1,3
112,3,36,-4,4,2
113,3,38,-1,6,-1
114,3,38,5,-3,-2
115,3,41,-4,4,-3
116,3,41,-3,-4,-4
117,3,42,4,5,-1
118,3,43,5,-3,3
119,3,44,6,2,2
120,3,45,2,-5,-4
121,3,49,6,2,-3
122,3,53,-1,6,4
123,3,57,4,5,4
124,3,61,-3,-4,6
125,3,65,2,-5,6
126,3,73,-6,-6,-1
127,3,73,-1,6,-6
128,3,77,4,5,-6
129,3,88,-6,-6,4
130,3,108,-6,-6,-6
131,4,9,1,-2,-2
132,4,14,1,-2,3
133,4,16,4,0,0
134,4,17,2,3,2
135,4,21,-4,-1,-2
136,4,21,-2,-4,1
137,4,22,2,3,-3
138,4,26,-4,-1,3
139,4,27,-1,1,-5
140,4,27,-1,1,5
141,4,29,-3,4,2
142,4,34,-3,4,-3
143,4,35,3,-5,1
144,4,36,-2,-4,-4
145,4,37,0,6,-1
146,4,40,-6,2,0
147,4,41,4,0,-5
148,4,41,4,0,5
149,4,49,6,-3,-2
150,4,50,3,-5,-4
151,4,51,5,5,-1
152,4,52,0,6,4
153,4,54,6,-3,3
154,4,56,-2,-4,6
155,4,62,-5,-6,-1
156,4,65,-6,2,-5
157,4,65,-6,2,5
158,4,66,5,5,4
159,4,70,3,-5,6
160,4,72,0,6,-6
161,4,77,-5,-6,4
162,4,86,5,5,-6
163,4,97,-5,-6,-6
164,5,12,2,-2,-2
165,5,14,-3,-1,-2
166,5,17,2,-2,3
167,5,18,-1,-4,1
168,5,19,-3,-1,3
169,5,22,3,3,2
170,5,24,-2,4,2
171,5,25,5,0,0
172,5,26,0,1,-5
173,5,26,0,1,5
174,5,27,3,3,-3
175,5,29,-5,2,0
176,5,29,-2,4,-3
177,5,33,-1,-4,-4
178,5,38,1,6,-1
179,5,42,4,-5,1
180,5,46,-6,-3,1
181,5,50,5,0,-5
182,5,50,5,0,5
183,5,53,-4,-6,-1
184,5,53,-1,-4,6
185,5,53,1,6,4
186,5,54,-5,2,-5
187,5,54,-5,2,5
188,5,57,4,-5,-4
189,5,61,-6,-3,-4
190,5,62,6,5,-1
191,5,68,-4,-6,4
192,5,73,1,6,-6
193,5,77,4,-5,6
194,5,77,6,5,4
195,5,81,-6,-3,6
196,5,88,-4,-6,-6
197,5,97,6,5,-6
198,6,9,-2,-1,-2
199,6,14,-2,-1,3
200,6,17,0,-4,1
201,6,17,3,-2,-2
202,6,20,-4,2,0
203,6,21,-1,4,2
204,6,22,3,-2,3
205,6,26,-1,4,-3
206,6,27,1,1,-5
207,6,27,1,1,5
208,6,29,4,3,2
209,6,32,0,-4,-4
210,6,34,4,3,-3
211,6,35,-5,-3,1
212,6,36,6,0,0
213,6,41,2,6,-1
214,6,45,-4,2,-5
215,6,45,-4,2,5
216,6,46,-3,-6,-1
217,6,50,-5,-3,-4
218,6,51,5,-5,1
219,6,52,0,-4,6
220,6,56,2,6,4
221,6,61,-3,-6,4
222,6,61,6,0,-5
223,6,61,6,0,5
224,6,65,-6,5,2
225,6,66,5,-5,-4
226,6,70,-6,5,-3
227,6,70,-5,-3,6
228,6,76,2,6,-6
229,6,81,-3,-6,-6
230,6,86,5,-5,6
231,7,6,-1,-1,-2
232,7,11,-1,-1,3
233,7,13,-3,2,0
234,7,18,1,-4,1
235,7,20,0,4,2
236,7,24,4,-2,-2
237,7,25,0,4,-3
238,7,26,-4,-3,1
239,7,29,4,-2,3
240,7,30,2,1,-5
241,7,30,2,1,5
242,7,33,1,-4,-4
243,7,38,-3,2,-5
244,7,38,-3,2,5
245,7,38,5,3,2
246,7,40,-6,0,-2
247,7,41,-4,-3,-4
248,7,41,-2,-6,-1
249,7,43,5,3,-3
250,7,45,-6,0,3
251,7,46,3,6,-1
252,7,53,1,-4,6
253,7,54,-5,5,2
254,7,56,-2,-6,4
255,7,59,-5,5,-3
256,7,61,-4,-3,6
257,7,61,3,6,4
258,7,62,6,-5,1
259,7,76,-2,-6,-6
260,7,77,6,-5,-4
261,7,81,3,6,-6
262,7,97,6,-5,6
263,8,8,-2,2,0
264,8,10,0,-1,3
265,8,10,3,1,0
266,8,19,-3,-3,1
267,8,21,1,4,2
268,8,21,2,-4,1
269,8,26,1,4,-3
270,8,29,-5,0,-2
271,8,33,-2,2,-5
272,8,33,-2,2,5
273,8,33,5,-2,-2
274,8,34,-5,0,3
275,8,34,-3,-3,-4
276,8,35,3,1,-5
277,8,35,3,1,5
278,8,36,2,-4,-4
279,8,38,-1,-6,-1
280,8,38,5,-2,3
281,8,45,-4,5,2
282,8,49,6,3,2
283,8,50,-4,5,-3
284,8,53,-1,-6,4
285,8,53,4,6,-1
286,8,54,-3,-3,6
287,8,54,6,3,-3
288,8,56,2,-4,6
289,8,62,-6,-5,-1
290,8,68,4,6,4
291,8,73,-1,-6,-6
292,8,77,-6,-5,4
293,8,88,4,6,-6
294,8,97,-6,-5,-6
295,9,6,1,-1,-2
296,9,11,1,-1,3
297,9,14,-2,-3,1
298,9,17,4,1,0
299,9,20,-4,0,-2
300,9,24,2,4,2
301,9,25,-4,0,3
302,9,26,3,-4,1
303,9,29,-2,-3,-4
304,9,29,2,4,-3
305,9,30,-1,2,-5
306,9,30,-1,2,5
