HA,3,24,w1,w2,w3
237,8,9,-2,-2,-1
238,8,10,-1,3,0
239,8,11,-3,1,1
240,8,11,1,-3,-1
241,8,11,3,-1,1
242,8,12,-2,-2,2
243,8,14,-3,1,-2
244,8,14,1,-3,2
245,8,14,3,-1,-2
246,8,16,0,0,4
247,8,17,2,2,-3
248,8,17,2,2,3
249,8,19,-1,3,-3
250,8,19,-1,3,3
251,8,24,-2,-2,-4
252,8,26,-3,1,4
253,8,26,1,-3,-4
254,8,26,3,-1,4
255,8,32,-4,-4,0
256,8,32,-4,4,0
257,8,33,4,-4,-1
258,8,33,4,4,-1
259,8,36,4,-4,2
260,8,36,4,4,2
261,8,41,-4,-4,-3
262,8,41,-4,-4,3
263,8,41,-4,4,-3
264,8,41,-4,4,3
265,8,48,4,-4,-4
266,8,48,4,4,-4
267,9,5,1,0,-2
268,9,6,-2,1,1
269,9,6,-1,-2,-1
270,9,9,-2,1,-2
271,9,9,-1,-2,2
272,9,9,0,3,0
273,9,13,3,2,0
274,9,14,2,-3,-1
275,9,17,1,0,4
276,9,17,2,-3,2
277,9,18,-4,-1,-1
278,9,18,0,3,-3
279,9,18,0,3,3
280,9,18,4,-1,1
281,9,21,-4,-1,2
282,9,21,-2,1,4
283,9,21,-1,-2,-4
284,9,21,4,-1,-2
285,9,22,3,2,-3
286,9,22,3,2,3
287,9,25,-3,-4,0
288,9,25,-3,4,0
289,9,29,2,-3,-4
290,9,33,-4,-1,-4
291,9,33,4,-1,4
292,9,34,-3,-4,-3
293,9,34,-3,-4,3
294,9,34,-3,4,-3
295,9,34,-3,4,3
296,10,5,0,-2,-1
297,10,5,2,0,1
298,10,6,-1,1,-2
299,10,8,0,-2,2
300,10,8,2,0,-2
301,10,10,1,3,0
302,10,11,-3,-1,-1
303,10,14,-3,-1,2
304,10,18,-1,1,4
305,10,19,1,3,-3
306,10,19,1,3,3
307,10,19,3,-3,-1
308,10,20,-2,-4,0
309,10,20,-2,4,0
310,10,20,0,-2,-4
311,10,20,2,0,4
312,10,20,4,2,0
313,10,21,-4,2,1
314,10,22,3,-3,2
315,10,24,-4,2,-2
316,10,26,-3,-1,-4
317,10,29,-2,-4,-3
318,10,29,-2,-4,3
319,10,29,-2,4,-3
320,10,29,-2,4,3
321,10,29,4,2,-3
322,10,29,4,2,3
323,10,34,3,-3,-4
324,10,36,-4,2,4
325,11,5,0,1,-2
326,11,6,-2,-1,-1
327,11,6,1,-2,-1
328,11,9,-2,-1,2
329,11,9,1,-2,2
330,11,10,3,0,1
331,11,13,2,3,0
332,11,13,3,0,-2
333,11,14,-3,2,1
334,11,17,-3,2,-2
335,11,17,-1,-4,0
336,11,17,-1,4,0
337,11,17,0,1,4
338,11,21,-2,-1,-4
339,11,21,1,-2,-4
340,11,22,2,3,-3
341,11,22,2,3,3
342,11,25,-4,-3,0
343,11,25,3,0,4
344,11,26,-1,-4,-3
345,11,26,-1,-4,3
346,11,26,-1,4,-3
347,11,26,-1,4,3
348,11,26,4,-3,-1
349,11,29,-3,2,4
350,11,29,4,-3,2
351,11,34,-4,-3,-3
352,11,34,-4,-3,3
353,11,41,4,-3,-4
354,12,3,1,1,1
355,12,6,-1,-1,2
356,12,6,1,1,-2
357,12,9,-2,2,1
358,12,9,2,-2,-1
359,12,12,-2,2,-2
360,12,12,2,-2,2
361,12,16,0,-4,0
362,12,16,0,4,0
363,12,17,-4,0,-1
364,12,17,4,0,1
365,12,18,-3,-3,0
366,12,18,-1,-1,-4
367,12,18,1,1,4
368,12,18,3,3,0
369,12,20,-4,0,2
370,12,20,4,0,-2
371,12,24,-2,2,4
372,12,24,2,-2,-4
373,12,25,0,-4,-3
374,12,25,0,-4,3
375,12,25,0,4,-3
376,12,25,0,4,3
377,12,27,-3,-3,-3
378,12,27,-3,-3,3
379,12,27,3,3,-3
380,12,27,3,3,3
381,12,32,-4,0,-4
382,12,32,4,0,4
383,13,5,0,-1,2
384,13,6,-1,2,1
385,13,6,2,1,1
386,13,9,-1,2,-2
387,13,9,2,1,-2
388,13,10,-3,0,-1
389,13,13,-3,0,2
390,13,13,-2,-3,0
391,13,14,3,-2,-1
392,13,17,0,-1,-4
393,13,17,1,-4,0
394,13,17,1,4,0
395,13,17,3,-2,2
396,13,21,-1,2,4
397,13,21,2,1,4
398,13,22,-2,-3,-3
399,13,22,-2,-3,3
400,13,25,-3,0,-4
401,13,25,4,3,0
402,13,26,-4,3,1
403,13,26,1,-4,-3
404,13,26,1,-4,3
405,13,26,1,4,-3
406,13,26,1,4,3
407,13,29,-4,3,-2
408,13,29,3,-2,-4
409,13,34,4,3,-3
410,13,34,4,3,3
411,13,41,-4,3,4
412,14,5,-2,0,-1
413,14,5,0,2,1
414,14,6,1,-1,2
415,14,8,-2,0,2
416,14,8,0,2,-2
417,14,10,-1,-3,0
418,14,11,3,1,1
419,14,14,3,1,-2
420,14,18,1,-1,-4
421,14,19,-3,3,1
422,14,19,-1,-3,-3
423,14,19,-1,-3,3
424,14,20,-4,-2,0
425,14,20,-2,0,-4
426,14,20,0,2,4
427,14,20,2,-4,0
428,14,20,2,4,0
429,14,21,4,-2,-1
430,14,22,-3,3,-2
431,14,24,4,-2,2
432,14,26,3,1,4
433,14,29,-4,-2,-3
