PA,3,24,w1,w2,w3
IX,d,SE,1,3,8
0,0,0,0,0,0
1,1,1,1,0,0
2,2,2,-1,1,0
3,3,1,0,1,0
4,4,2,1,1,0
5,5,2,0,-1,1
6,6,3,1,-1,1
7,7,2,-1,0,1
8,8,1,0,0,1
9,9,2,1,0,1
10,10,3,-1,1,1
11,11,2,0,1,1
12,12,3,-1,-1,-1
13,13,2,0,-1,-1
14,14,3,1,-1,-1
15,15,2,-1,0,-1
16,16,1,0,0,-1
17,17,2,1,0,-1
18,18,3,-1,1,-1
19,19,2,0,1,-1
20,20,2,-1,-1,0
21,21,1,0,-1,0
22,22,2,1,-1,0
23,23,1,-1,0,0
,TSE,45,,,
,MSE,0.625,,,
,PSNR,50.17,,,
