,red,green,blue
Mean,100000001000110100000111101011100001010001111010111000010100100,100000000010000101110000101000111101011100001010001111010111000,100000000101011011110101110000101000111101011100001010001111011
Standard Deviation,100000000111010111011100001010001111010111000010100011110101110,100000000011111010100011110101110000101000111101011100001010010,100000000101100010100011110101110000101000111101011100001010010
weight,11111111011111010111000010100011110101110000101000111101011100,11111111100001010001111010111000010100011110101110000101001000,11111111100011110101110000101000111101011100001010001111010111
