,red,green,blue
Mean,100000001010000111001110000101000111101011100001010001111010111,1100000000000010111101011100001010001111010111000010100011110110,100000000101110110011001100110011001100110011001100110011001101
Standard Deviation,100000000110111000100011110101110000101000111101011100001010010,100000000100001010100011110101110000101000111101011100001010010,100000000011111111010111000010100011110101110000101000111101100
weight,11111111011111010111000010100011110101110000101000111101011100,11111111100001010001111010111000010100011110101110000101001000,11111111100011110101110000101000111101011100001010001111010111
