HA,2,4,w1,w2
IX,d,SE,1,2
0,0,4,0,-2
1,0,4,0,2
2,0,5,-2,-1
3,0,5,-2,1
4,0,5,2,-1
5,0,5,2,1
6,1,2,-1,-1
7,1,2,-1,1
8,1,5,1,-2
9,1,5,1,2
10,2,1,0,1
11,2,4,-2,0
12,2,4,2,0
13,2,8,-2,-2
14,2,8,-2,2
15,2,8,2,-2
16,2,8,2,2
17,3,2,1,-1
18,3,2,1,1
19,3,5,-1,-2
20,3,5,-1,2
