HA,3,87,w1,w2,w3
IX,d,SE,1,5,25
0,0,17,-2,-2,-3
1,0,17,2,2,3
2,0,26,-5,1,0
3,0,26,0,-5,1
4,0,26,0,5,-1
5,0,26,5,-1,0
6,0,27,-3,3,3
7,0,27,3,-3,-3
8,0,29,-3,-2,4
9,0,29,-2,3,-4
10,0,29,2,-3,4
11,0,29,3,2,-4
12,0,42,-5,-4,1
13,0,42,5,4,-1
14,0,62,-5,6,-1
15,0,62,-1,5,6
16,0,62,1,-5,-6
17,0,62,5,-6,1
18,0,68,-4,-4,-6
19,0,68,4,4,6
20,0,108,-6,6,6
21,0,108,6,-6,-6
22,1,14,-1,-2,-3
23,1,17,-4,1,0
24,1,22,-2,3,3
25,1,22,3,2,3
26,1,24,-2,-2,4
27,1,26,-1,3,-4
28,1,27,1,-5,1
29,1,27,1,5,-1
30,1,33,-4,-4,1
31,1,34,3,-3,4
32,1,34,4,-3,-3
33,1,36,4,2,-4
34,1,37,6,-1,0
35,1,46,-6,-1,-3
36,1,53,-4,6,-1
37,1,53,6,4,-1
38,1,61,-3,-4,-6
39,1,61,0,5,6
40,1,65,2,-5,-6
41,1,68,-6,4,-4
42,1,73,6,-6,1
43,1,76,-6,-6,-2
44,1,77,5,4,6
45,1,97,-5,6,6
46,2,10,-3,1,0
47,2,13,0,-2,-3
48,2,19,-1,3,3
49,2,21,-1,-2,4
50,2,25,0,3,-4
51,2,26,-3,-4,1
52,2,29,4,2,3
53,2,30,2,-5,1
54,2,30,2,5,-1
55,2,35,-5,-1,-3
56,2,41,4,-3,4
57,2,43,5,-3,-3
58,2,45,5,2,-4
59,2,46,-3,6,-1
60,2,53,-6,-1,4
61,2,56,-2,-4,-6
62,2,57,-5,4,-4
63,2,61,-6,4,3
64,2,62,1,5,6
65,2,65,-5,-6,-2
66,2,70,3,-5,-6
67,2,88,-4,6,6
68,2,88,6,4,6
69,2,97,-6,-6,5
70,3,9,3,0,0
71,3,14,1,-2,-3
72,3,18,0,3,3
73,3,20,0,-2,4
74,3,21,-2,-4,1
75,3,26,-4,-1,-3
76,3,26,1,3,-4
77,3,35,3,-5,1
78,3,35,3,5,-1
79,3,38,5,2,3
80,3,41,-2,6,-1
81,3,42,-5,-1,4
82,3,48,-4,4,-4
