HA,3,35,w1,w2,w3
237,11,36,4,-2,4
238,11,48,-4,4,-4
239,12,5,-1,-2,0
240,12,9,-2,1,-2
241,12,10,-1,0,3
242,12,11,1,-1,-3
243,12,12,2,-2,2
244,12,14,-2,3,1
245,12,17,-4,0,1
246,12,18,4,-1,-1
247,12,19,1,3,3
248,12,20,0,4,-2
249,12,21,2,-4,-1
250,12,21,4,1,2
251,12,22,3,2,-3
252,12,24,-4,-2,-2
253,12,25,3,4,0
254,12,26,-1,-4,-3
255,12,27,-3,-3,3
256,12,36,-4,2,4
257,12,41,-3,4,-4
258,12,41,4,-3,-4
259,13,5,2,1,0
260,13,6,-1,1,-2
261,13,9,0,0,3
262,13,10,-3,0,1
263,13,11,-1,3,1
264,13,14,2,-1,-3
265,13,17,-3,-2,-2
266,13,17,3,-2,2
267,13,21,1,4,-2
268,13,22,-2,-3,3
269,13,22,2,3,3
270,13,25,0,-4,-3
271,13,26,-4,3,-1
272,13,26,3,-4,-1
273,13,29,-3,2,4
274,13,29,4,2,-3
275,13,32,4,4,0
276,13,33,-4,1,-4
277,13,36,-2,4,-4
278,14,5,0,1,-2
279,14,5,1,-2,0
280,14,10,0,3,1
281,14,10,1,0,3
282,14,10,3,1,0
283,14,12,-2,-2,-2
284,14,19,-3,3,-1
285,14,19,-1,-3,3
286,14,19,3,-1,-3
287,14,24,-2,2,4
288,14,24,2,4,-2
289,14,24,4,-2,2
290,14,26,-4,-3,1
291,14,26,-3,1,-4
292,14,26,1,-4,-3
293,14,27,3,3,3
294,14,33,-4,-1,4
295,14,33,-1,4,-4
296,14,33,4,-4,-1
297,15,6,1,1,-2
298,15,8,2,-2,0
299,15,9,-1,-2,-2
300,15,11,1,3,1
301,15,13,2,0,3
302,15,14,-2,3,-1
303,15,17,-4,0,-1
304,15,17,4,1,0
305,15,18,0,-3,3
306,15,19,-3,-3,1
307,15,21,-2,1,-4
308,15,21,-1,2,4
309,15,24,-4,2,2
310,15,26,-3,-1,4
311,15,26,4,-1,-3
312,15,29,2,-4,-3
313,15,29,3,4,-2
314,15,32,0,4,-4
315,15,34,4,3,3
316,15,36,-4,-2,-4
317,16,8,0,-2,-2
318,16,9,2,1,-2
319,16,10,-3,0,-1
320,16,11,-1,3,-1
321,16,13,3,-2,0
322,16,14,-2,-3,1
323,16,14,2,3,1
324,16,17,-3,2,2
325,16,18,-1,1,-4
326,16,18,3,0,3
327,16,19,1,-3,3
328,16,20,0,2,4
329,16,21,-2,-1,4
330,16,29,-3,-2,-4
331,16,33,1,4,-4
332,16,34,-4,3,-3
333,16,34,3,-4,-3
334,16,36,4,4,-2
335,16,48,-4,-4,4
336,17,5,-2,0,-1
337,17,9,1,-2,-2
338,17,10,0,3,-1
339,17,11,-1,-3,1
340,17,12,-2,2,2
341,17,14,3,1,-2
342,17,17,0,1,-4
343,17,18,-1,-1,4
344,17,19,3,3,1
345,17,20,4,-2,0
346,17,21,-4,-1,2
347,17,21,1,2,4
348,17,22,2,-3,3
349,17,24,-2,-2,-4
350,17,25,4,0,3
351,17,26,-4,-3,-1
352,17,27,-3,3,-3
353,17,36,2,4,-4
354,17,41,-3,-4,4
355,17,41,4,-4,-3
356,18,5,2,0,1
357,18,9,-1,2,2
358,18,10,0,-3,1
359,18,11,1,3,-1
360,18,12,2,-2,-2
361,18,14,-3,-1,2
362,18,17,0,-1,4
363,18,18,1,1,-4
364,18,19,-3,-3,-1
365,18,20,-4,2,0
366,18,21,-1,-2,-4
367,18,21,4,1,-2
368,18,22,-2,3,-3
369,18,24,2,2,4
370,18,25,-4,0,-3
371,18,26,4,3,1
372,18,27,3,-3,3
373,18,36,-2,-4,4
374,18,41,-4,4,3
375,18,41,3,4,-4
376,19,8,0,2,2
377,19,9,-2,-1,2
378,19,10,3,0,1
379,19,11,1,-3,1
380,19,13,-3,2,0
381,19,14,-2,-3,-1
382,19,14,2,3,-1
383,19,17,3,-2,-2
384,19,18,-3,0,-3
385,19,18,1,-1,4
386,19,19,-1,3,-3
387,19,20,0,-2,-4
388,19,21,2,1,-4
389,19,29,3,2,4
390,19,33,-1,-4,4
391,19,34,-3,4,3
392,19,34,4,-3,3
393,19,36,-4,-4,2
394,19,48,4,4,-4
395,20,6,-1,-1,2
396,20,8,-2,2,0
397,20,9,1,2,2
398,20,11,-1,-3,-1
399,20,13,-2,0,-3
400,20,14,2,-3,1
401,20,17,-4,-1,0
402,20,17,4,0,1
403,20,18,0,3,-3
404,20,19,3,3,-1
405,20,21,1,-2,-4
406,20,21,2,-1,4
407,20,24,4,-2,-2
408,20,26,-4,1,3
409,20,26,3,1,-4
410,20,29,-3,-4,2
411,20,29,-2,4,3
412,20,32,0,-4,4
413,20,34,-4,-3,-3
414,20,36,4,2,4
415,21,5,0,-1,2
416,21,5,2,0,-1
417,21,10,-3,-1,0
418,21,10,-1,0,-3
419,21,10,0,-3,-1
420,21,12,2,2,2
421,21,19,-3,1,3
422,21,19,1,3,-3
423,21,19,3,-3,1
424,21,24,-4,2,-2
425,21,24,-2,-4,2
426,21,24,2,-2,-4
427,21,26,-1,4,3
428,21,26,3,-1,4
429,21,26,4,3,-1
430,21,27,-3,-3,-3
431,21,33,-4,4,1
432,21,33,1,-4,4
433,21,33,4,1,-4
434,22,5,-2,-1,0
435,22,6,1,-1,2
436,22,9,0,0,-3
437,22,10,3,0,-1
438,22,11,1,-3,-1
439,22,14,-2,1,3
440,22,17,-3,2,-2
441,22,17,3,2,2
442,22,21,-1,-4,2
443,22,22,-2,-3,-3
444,22,22,2,3,-3
445,22,25,0,4,3
446,22,26,-3,4,1
447,22,26,4,-3,1
448,22,29,-4,-2,3
449,22,29,3,-2,-4
450,22,32,-4,-4,0
451,22,33,4,-1,4
452,22,36,2,-4,4
453,23,5,1,2,0
454,23,9,2,-1,2
455,23,10,1,0,-3
456,23,11,-1,1,3
457,23,12,-2,2,-2
458,23,14,2,-3,-1
459,23,17,4,0,-1
460,23,18,-4,1,1
461,23,19,-1,-3,-3
462,23,20,0,-4,2
463,23,21,-4,-1,-2
464,23,21,-2,4,1
465,23,22,-3,-2,3
466,23,24,4,2,2
467,23,25,-3,-4,0
468,23,26,1,4,3
469,23,27,3,3,-3
470,23,36,4,-2,-4
471,23,41,-4,3,4
472,23,41,3,-4,4
473,24,8,2,2,0
474,24,9,-1,2,-2
475,24,10,0,1,3
476,24,11,-3,1,1
477,24,13,2,0,-3
478,24,14,-3,-1,-2
479,24,14,3,-1,2
480,24,17,-2,-2,3
481,24,18,-1,4,1
482,24,18,0,-3,-3
483,24,19,3,-3,-1
484,24,20,-2,-4,0
485,24,21,1,-4,2
486,24,29,2,4,3
487,24,33,-4,4,-1
488,24,34,-3,3,4
489,24,34,4,3,-3
490,24,36,-4,2,-4
491,24,48,4,-4,4
492,25,6,-2,1,1
493,25,8,0,2,-2
494,25,9,-2,-1,-2
495,25,11,1,1,3
496,25,13,3,2,0
497,25,14,-1,-2,3
498,25,17,-1,-4,0
499,25,17,0,4,1
500,25,18,3,0,-3
501,25,19,1,-3,-3
502,25,21,-4,-2,1
503,25,21,4,-1,2
504,25,24,2,-4,2
505,25,26,-3,4,-1
506,25,26,4,-3,-1
507,25,29,-3,2,-4
508,25,29,-2,3,4
509,25,32,-4,0,4
510,25,34,3,4,3
511,25,36,-4,-4,-2
512,26,5,2,-1,0
513,26,6,-1,-1,-2
514,26,9,1,2,-2
515,26,13,0,-2,3
516,26,14,-3,-2,1
517,26,14,2,1,3
518,26,16,0,-4,0
519,26,18,-4,1,-1
520,26,18,1,4,1
521,26,20,4,2,0
522,26,21,-2,4,-1
523,26,22,2,-3,-3
524,26,24,-2,2,-4
525,26,25,-3,0,4
526,26,25,4,0,-3
527,26,26,-1,3,4
528,26,29,-4,3,2
529,26,29,-3,-4,-2
530,26,29,3,-4,2
531,26,33,-4,-1,-4
532,26,41,4,4,3
533,27,5,0,-1,-2
534,27,9,-2,-2,1
535,27,10,3,-1,0
536,27,11,-3,1,-1
537,27,12,2,2,-2
538,27,14,1,-2,3
539,27,17,1,-4,0
540,27,18,-1,4,-1
541,27,19,3,1,3
542,27,20,-2,0,4
543,27,21,-1,2,-4
544,27,21,2,4,1
545,27,22,-3,3,2
546,27,24,-2,-4,-2
547,27,25,0,3,4
548,27,26,-3,-1,-4
549,27,27,3,-3,-3
550,27,36,4,-4,2
551,27,41,-4,-3,4
552,27,41,-4,4,-3
553,28,6,-2,1,-1
554,28,6,-1,-2,1
555,28,6,1,-1,-2
556,28,17,-2,3,2
557,28,17,-1,0,4
558,28,17,0,4,-1
559,28,17,2,-2,3
560,28,17,3,2,-2
561,28,17,4,-1,0
562,28,20,-4,0,2
563,28,20,0,2,-4
564,28,20,2,-4,0
565,28,21,-4,-2,-1
566,28,21,-2,-1,-4
567,28,21,-1,-4,-2
568,28,26,1,3,4
569,28,26,3,4,1
570,28,26,4,1,3
571,28,34,-3,-3,4
572,28,34,-3,4,-3
573,28,34,4,-3,-3
574,28,48,-4,-4,-4
575,29,5,0,-2,1
576,29,6,2,1,1
577,29,9,2,-1,-2
578,29,13,-3,0,2
579,29,14,-3,-2,-1
580,29,14,-1,3,2
581,29,16,0,0,4
582,29,18,-1,-1,-4
583,29,18,1,4,-1
584,29,20,0,-4,-2
585,29,21,1,2,-4
586,29,22,3,-2,3
587,29,24,4,2,-2
588,29,25,-4,3,0
589,29,25,3,-4,0
590,29,26,-4,1,-3
591,29,29,-2,-3,4
592,29,29,-2,4,-3
