,red,green,blue
Mean,100000001100001011010010100011110101110000101000111101011100001,100000001100000111011100001010001111010111000010100011110101110,100000001011011100010001111010111000010100011110101110000101001
Standard Deviation,100000000111101100011110101110000101000111101011100001010001111,100000000111001101100110011001100110011001100110011001100110011,100000001001100111100001010001111010111000010100011110101110001
